param_classifier__criterion,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
gini,3,,1,2,0.5856515373352855,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
gini,3,,1,10,0.5856515373352855,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
gini,3,,1,20,0.5856515373352855,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
gini,3,,5,2,0.5856515373352855,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
gini,3,,5,10,0.5856515373352855,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
gini,3,,5,20,0.5856515373352855,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
gini,3,,10,2,0.5856515373352855,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
gini,3,,10,10,0.5856515373352855,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
gini,3,,10,20,0.5856515373352855,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
gini,3,,20,2,0.5856515373352855,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
gini,3,,20,10,0.5856515373352855,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
gini,3,,20,20,0.5856515373352855,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
gini,3,sqrt,1,2,0.5385996409335727,0.5760233918128655,0.5611510791366906,0.559322033898305,0.5423728813559322
gini,3,sqrt,1,10,0.5385996409335727,0.5760233918128655,0.5611510791366906,0.559322033898305,0.5423728813559322
gini,3,sqrt,1,20,0.5385996409335727,0.5760233918128655,0.5611510791366906,0.559322033898305,0.5423728813559322
gini,3,sqrt,5,2,0.5366726296958855,0.5760233918128655,0.5611510791366906,0.5578231292517006,0.5440494590417311
gini,3,sqrt,5,10,0.5366726296958855,0.5760233918128655,0.5611510791366906,0.5578231292517006,0.5440494590417311
gini,3,sqrt,5,20,0.5366726296958855,0.5760233918128655,0.5611510791366906,0.5578231292517006,0.5440494590417311
gini,3,sqrt,10,2,0.5366726296958855,0.5760233918128655,0.5549132947976878,0.559322033898305,0.5423728813559322
gini,3,sqrt,10,10,0.5366726296958855,0.5760233918128655,0.5549132947976878,0.559322033898305,0.5423728813559322
gini,3,sqrt,10,20,0.5366726296958855,0.5760233918128655,0.5549132947976878,0.559322033898305,0.5423728813559322
gini,3,sqrt,20,2,0.5366726296958855,0.5726872246696035,0.5547445255474452,0.559322033898305,0.5423728813559322
gini,3,sqrt,20,10,0.5366726296958855,0.5726872246696035,0.5547445255474452,0.559322033898305,0.5423728813559322
gini,3,sqrt,20,20,0.5366726296958855,0.5726872246696035,0.5547445255474452,0.559322033898305,0.5423728813559322
gini,3,log2,1,2,0.5616113744075829,0.5641618497109827,0.5458612975391499,0.5528089887640449,0.5630153121319199
gini,3,log2,1,10,0.5616113744075829,0.5641618497109827,0.5458612975391499,0.5528089887640449,0.5630153121319199
gini,3,log2,1,20,0.5616113744075829,0.5641618497109827,0.5458612975391499,0.5528089887640449,0.5630153121319199
gini,3,log2,5,2,0.5602836879432624,0.5641618497109827,0.5458612975391499,0.5528089887640449,0.564344746162928
gini,3,log2,5,10,0.5602836879432624,0.5641618497109827,0.5458612975391499,0.5528089887640449,0.564344746162928
gini,3,log2,5,20,0.5602836879432624,0.5641618497109827,0.5458612975391499,0.5528089887640449,0.564344746162928
gini,3,log2,10,2,0.5602836879432624,0.5641618497109827,0.5409652076318743,0.5528089887640449,0.5630153121319199
gini,3,log2,10,10,0.5602836879432624,0.5641618497109827,0.5409652076318743,0.5528089887640449,0.5630153121319199
gini,3,log2,10,20,0.5602836879432624,0.5641618497109827,0.5409652076318743,0.5528089887640449,0.5630153121319199
gini,3,log2,20,2,0.5602836879432624,0.5614849187935035,0.5407239819004525,0.5528089887640449,0.5630153121319199
gini,3,log2,20,10,0.5602836879432624,0.5614849187935035,0.5407239819004525,0.5528089887640449,0.5630153121319199
gini,3,log2,20,20,0.5602836879432624,0.5614849187935035,0.5407239819004525,0.5528089887640449,0.5630153121319199
gini,5,,1,2,0.6048780487804878,0.6416275430359938,0.5843971631205673,0.6127527216174183,0.6585365853658537
gini,5,,1,10,0.6048780487804878,0.6416275430359938,0.5843971631205673,0.608424336973479,0.6585365853658537
gini,5,,1,20,0.6048780487804878,0.6416275430359938,0.5843971631205673,0.608424336973479,0.6585365853658537
gini,5,,5,2,0.6048780487804878,0.6426332288401254,0.5819209039548022,0.5849335302806499,0.6546003016591252
gini,5,,5,10,0.6048780487804878,0.6426332288401254,0.5819209039548022,0.5849335302806499,0.6546003016591252
gini,5,,5,20,0.6048780487804878,0.6426332288401254,0.5819209039548022,0.5849335302806499,0.6546003016591252
gini,5,,10,2,0.6048780487804878,0.640117994100295,0.5846153846153846,0.5849335302806499,0.6546003016591252
gini,5,,10,10,0.6048780487804878,0.640117994100295,0.5846153846153846,0.5849335302806499,0.6546003016591252
gini,5,,10,20,0.6048780487804878,0.640117994100295,0.5846153846153846,0.5849335302806499,0.6546003016591252
gini,5,,20,2,0.6058631921824105,0.6439169139465876,0.5887323943661972,0.5849335302806499,0.6546003016591252
gini,5,,20,10,0.6058631921824105,0.6439169139465876,0.5887323943661972,0.5849335302806499,0.6546003016591252
gini,5,,20,20,0.6058631921824105,0.6439169139465876,0.5887323943661972,0.5849335302806499,0.6546003016591252
gini,5,sqrt,1,2,0.5634588563458857,0.6189735614307932,0.543448275862069,0.5676855895196506,0.5978090766823161
gini,5,sqrt,1,10,0.5611111111111111,0.6189735614307932,0.5426997245179064,0.5676855895196506,0.5924764890282131
gini,5,sqrt,1,20,0.5755395683453237,0.609375,0.5426997245179064,0.5681159420289855,0.5978090766823161
gini,5,sqrt,5,2,0.5603328710124826,0.6199376947040498,0.5447042640990372,0.5637393767705382,0.5924764890282131
gini,5,sqrt,5,10,0.5603328710124826,0.6199376947040498,0.5447042640990372,0.5637393767705382,0.5924764890282131
gini,5,sqrt,5,20,0.5747126436781609,0.6112852664576802,0.5444596443228454,0.5637393767705382,0.5981012658227848
gini,5,sqrt,10,2,0.5747126436781609,0.609375,0.5444596443228454,0.5645390070921986,0.5981012658227848
gini,5,sqrt,10,10,0.5747126436781609,0.609375,0.5444596443228454,0.5645390070921986,0.5981012658227848
gini,5,sqrt,10,20,0.5747126436781609,0.609375,0.5444596443228454,0.5645390070921986,0.5981012658227848
gini,5,sqrt,20,2,0.5701754385964912,0.609375,0.5439560439560439,0.5645390070921986,0.59375
gini,5,sqrt,20,10,0.5701754385964912,0.609375,0.5439560439560439,0.5645390070921986,0.59375
gini,5,sqrt,20,20,0.5701754385964912,0.609375,0.5439560439560439,0.5645390070921986,0.59375
gini,5,log2,1,2,0.5871271585557299,0.6069802731411229,0.5722300140252454,0.5924855491329479,0.6085672082717873
gini,5,log2,1,10,0.5871271585557299,0.60790273556231,0.5722300140252454,0.5924855491329479,0.6085672082717873
gini,5,log2,1,20,0.5884194053208138,0.60790273556231,0.5718270571827058,0.5902578796561605,0.6085672082717873
gini,5,log2,5,2,0.5880503144654088,0.6128048780487805,0.5730337078651685,0.586552217453505,0.6085672082717873
gini,5,log2,5,10,0.5880503144654088,0.6128048780487805,0.5730337078651685,0.586552217453505,0.6085672082717873
gini,5,log2,5,20,0.5884194053208138,0.6100151745068285,0.5718270571827058,0.5902578796561605,0.6085672082717873
gini,5,log2,10,2,0.590625,0.6100151745068285,0.5718270571827058,0.5877318116975749,0.6062407132243685
gini,5,log2,10,10,0.590625,0.6100151745068285,0.5718270571827058,0.5877318116975749,0.6062407132243685
gini,5,log2,10,20,0.590625,0.6100151745068285,0.5718270571827058,0.5877318116975749,0.6062407132243685
gini,5,log2,20,2,0.5878693623639192,0.6126126126126126,0.5710306406685237,0.5925925925925926,0.6251944012441679
gini,5,log2,20,10,0.5878693623639192,0.6126126126126126,0.5710306406685237,0.5925925925925926,0.6251944012441679
gini,5,log2,20,20,0.5878693623639192,0.6126126126126126,0.5710306406685237,0.5925925925925926,0.6251944012441679
gini,7,,1,2,0.5894428152492669,0.5921259842519685,0.5870786516853933,0.5722801788375559,0.6213592233009708
gini,7,,1,10,0.5915080527086384,0.5915492957746479,0.5862552594670407,0.5701492537313433,0.6195826645264848
gini,7,,1,20,0.5899705014749262,0.5865834633385335,0.5923836389280677,0.572289156626506,0.6181229773462783
gini,7,,5,2,0.6021505376344086,0.5846153846153846,0.6008583690987125,0.56797583081571,0.5975975975975976
gini,7,,5,10,0.6021505376344086,0.5846153846153846,0.6008583690987125,0.56797583081571,0.5975975975975976
gini,7,,5,20,0.6006191950464397,0.5837173579109063,0.5982905982905983,0.5705614567526556,0.5996955859969558
gini,7,,10,2,0.5929339477726574,0.5830815709969789,0.5925925925925926,0.5770992366412214,0.5945121951219512
gini,7,,10,10,0.5929339477726574,0.5830815709969789,0.5925925925925926,0.5770992366412214,0.5945121951219512
gini,7,,10,20,0.5929339477726574,0.5830815709969789,0.5925925925925926,0.5770992366412214,0.5945121951219512
gini,7,,20,2,0.6006191950464397,0.5990639625585024,0.5931445603576752,0.5993788819875776,0.6
gini,7,,20,10,0.6006191950464397,0.5990639625585024,0.5931445603576752,0.5993788819875776,0.6
gini,7,,20,20,0.6006191950464397,0.5990639625585024,0.5931445603576752,0.5993788819875776,0.6
gini,7,sqrt,1,2,0.5645933014354066,0.5975103734439834,0.5760709010339734,0.586552217453505,0.6061493411420205
gini,7,sqrt,1,10,0.5682182985553772,0.5824175824175825,0.5672082717872969,0.5782792665726375,0.6064139941690962
gini,7,sqrt,1,20,0.5625965996908809,0.5973645680819912,0.5680473372781065,0.5612535612535613,0.5817655571635311
gini,7,sqrt,5,2,0.567741935483871,0.584573748308525,0.5779685264663805,0.5781466113416321,0.6028571428571429
gini,7,sqrt,5,10,0.567741935483871,0.584573748308525,0.5779685264663805,0.5781466113416321,0.6028571428571429
gini,7,sqrt,5,20,0.5727699530516432,0.6002928257686676,0.5580110497237569,0.5612535612535613,0.5821325648414986
gini,7,sqrt,10,2,0.5722983257229832,0.6005830903790087,0.5602240896358543,0.5829596412556054,0.5776487663280117
gini,7,sqrt,10,10,0.5722983257229832,0.6005830903790087,0.5602240896358543,0.5829596412556054,0.5776487663280117
gini,7,sqrt,10,20,0.5722983257229832,0.6005830903790087,0.5602240896358543,0.5829596412556054,0.5776487663280117
gini,7,sqrt,20,2,0.5562130177514792,0.6144927536231884,0.5601023017902813,0.5768115942028985,0.6118721461187214
