param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
3,sqrt,1,2,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,1,2,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,1,2,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,1,2,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,1,5,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,1,5,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,1,5,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,1,5,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,1,10,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,1,10,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,1,10,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,1,10,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,3,2,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,3,2,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,3,2,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,3,2,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,3,5,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,3,5,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,3,5,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,3,5,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,3,10,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,3,10,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,3,10,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,3,10,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,5,2,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,5,2,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,5,2,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,5,2,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,5,5,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,5,5,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,5,5,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,5,5,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,5,10,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,5,10,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,5,10,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,5,10,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,log2,1,2,50,0.5979381443298969,0.6295754026354319,0.5968882602545968,0.6147308781869688,0.638109305760709
3,log2,1,2,100,0.6029411764705882,0.638235294117647,0.5952045133991537,0.6142857142857143,0.6417910447761194
3,log2,1,2,200,0.5985401459854015,0.6383601756954612,0.5938375350140056,0.6138613861386139,0.6370370370370371
3,log2,1,2,300,0.5997088791848617,0.6394160583941606,0.5921787709497207,0.6175637393767706,0.6379821958456974
3,log2,1,5,50,0.5979381443298969,0.6295754026354319,0.5968882602545968,0.6147308781869688,0.638109305760709
3,log2,1,5,100,0.6029411764705882,0.638235294117647,0.5952045133991537,0.6142857142857143,0.6417910447761194
3,log2,1,5,200,0.5985401459854015,0.6383601756954612,0.5938375350140056,0.6138613861386139,0.6370370370370371
3,log2,1,5,300,0.5997088791848617,0.6394160583941606,0.5921787709497207,0.6175637393767706,0.6379821958456974
3,log2,1,10,50,0.5979381443298969,0.6295754026354319,0.5968882602545968,0.6147308781869688,0.638109305760709
3,log2,1,10,100,0.6029411764705882,0.638235294117647,0.5952045133991537,0.6142857142857143,0.6417910447761194
3,log2,1,10,200,0.5985401459854015,0.6383601756954612,0.5938375350140056,0.6138613861386139,0.6370370370370371
3,log2,1,10,300,0.5997088791848617,0.6394160583941606,0.5921787709497207,0.6175637393767706,0.6379821958456974
3,log2,3,2,50,0.5979381443298969,0.6295754026354319,0.5968882602545968,0.6147308781869688,0.638109305760709
3,log2,3,2,100,0.6029411764705882,0.638235294117647,0.5952045133991537,0.6142857142857143,0.6417910447761194
3,log2,3,2,200,0.5985401459854015,0.6383601756954612,0.5938375350140056,0.6138613861386139,0.6370370370370371
3,log2,3,2,300,0.5997088791848617,0.6394160583941606,0.5921787709497207,0.6175637393767706,0.6379821958456974
3,log2,3,5,50,0.5979381443298969,0.6295754026354319,0.5968882602545968,0.6147308781869688,0.638109305760709
3,log2,3,5,100,0.6029411764705882,0.638235294117647,0.5952045133991537,0.6142857142857143,0.6417910447761194
