param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,param_classifier__reg_lambda,param_classifier__subsample,param_classifier__subsample_freq,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.01,3,50,15,7,0.8,1,0.6003016591251885,0.6314199395770392,0.6173913043478261,0.6096096096096096,0.6506024096385542
0.01,3,50,31,1,0.4,1,0.5961251862891207,0.6347305389221557,0.6082036775106082,0.617816091954023,0.6546003016591252
0.01,3,50,31,1,0.6,1,0.5961251862891207,0.6292466765140325,0.617816091954023,0.6266471449487555,0.6574923547400612
0.01,3,50,31,1,0.8,1,0.6003016591251885,0.6314199395770392,0.6144927536231884,0.6128550074738416,0.6584992343032159
0.01,3,50,31,3,0.4,1,0.5973254086181278,0.6367713004484304,0.6064880112834978,0.6180257510729614,0.6595744680851063
0.01,3,50,31,3,0.6,1,0.5967016491754122,0.6292466765140325,0.6153846153846154,0.6266471449487555,0.6565349544072948
0.01,3,50,31,3,0.8,1,0.6003016591251885,0.6314199395770392,0.6164978292329957,0.6128550074738416,0.6506024096385542
0.01,3,50,31,7,0.4,1,0.5934718100890207,0.6367713004484304,0.6039325842696629,0.62,0.6546003016591252
0.01,3,50,31,7,0.6,1,0.5931445603576752,0.6292466765140325,0.6118980169971672,0.618978102189781,0.6534954407294833
0.01,3,50,31,7,0.8,1,0.6003016591251885,0.6314199395770392,0.6173913043478261,0.6096096096096096,0.6506024096385542
0.01,3,100,7,1,0.4,1,0.5973645680819912,0.6320474777448071,0.6041958041958042,0.6223479490806223,0.6636363636363637
0.01,3,100,7,1,0.6,1,0.6035502958579881,0.6352941176470588,0.6115007012622721,0.6179775280898876,0.661608497723824
0.01,3,100,7,1,0.8,1,0.6005917159763313,0.6352941176470588,0.6091794158553546,0.6136363636363636,0.6636085626911316
0.01,3,100,7,3,0.4,1,0.5973645680819912,0.631424375917768,0.6075949367088608,0.6199158485273493,0.6656580937972768
0.01,3,100,7,3,0.6,1,0.6026587887740029,0.6352941176470588,0.6129943502824858,0.6160337552742616,0.662613981762918
0.01,3,100,7,3,0.8,1,0.6,0.6352941176470588,0.6100278551532033,0.6136363636363636,0.664624808575804
0.01,3,100,7,7,0.4,1,0.5927007299270073,0.631424375917768,0.6067415730337079,0.6207865168539326,0.6646525679758308
0.01,3,100,7,7,0.6,1,0.5946745562130178,0.6352941176470588,0.6156028368794326,0.61212976022567,0.6636363636363637
0.01,3,100,7,7,0.8,1,0.6,0.6352941176470588,0.6091794158553546,0.6136363636363636,0.664624808575804
0.01,3,100,15,1,0.4,1,0.5964912280701754,0.6331360946745562,0.61212976022567,0.6193181818181818,0.6646433990895296
0.01,3,100,15,1,0.6,1,0.6035502958579881,0.6352941176470588,0.6112676056338028,0.6179775280898876,0.661608497723824
0.01,3,100,15,1,0.8,1,0.6005917159763313,0.6352941176470588,0.6091794158553546,0.6136363636363636,0.6636085626911316
0.01,3,100,15,3,0.4,1,0.5964912280701754,0.6332842415316642,0.6075949367088608,0.6212765957446809,0.6646433990895296
0.01,3,100,15,3,0.6,1,0.6008836524300442,0.6352941176470588,0.6147308781869688,0.6171107994389902,0.6646433990895296
0.01,3,100,15,3,0.8,1,0.6,0.6352941176470588,0.6091794158553546,0.6136363636363636,0.664624808575804
0.01,3,100,15,7,0.4,1,0.5927007299270073,0.631424375917768,0.6067415730337079,0.6207865168539326,0.6626506024096386
0.01,3,100,15,7,0.6,1,0.5946745562130178,0.6352941176470588,0.6156028368794326,0.61212976022567,0.6636363636363637
0.01,3,100,15,7,0.8,1,0.6,0.6352941176470588,0.6091794158553546,0.6136363636363636,0.664624808575804
0.01,3,100,31,1,0.4,1,0.5964912280701754,0.6320474777448071,0.61212976022567,0.6193181818181818,0.6646433990895296
0.01,3,100,31,1,0.6,1,0.6035502958579881,0.6352941176470588,0.6112676056338028,0.6179775280898876,0.661608497723824
0.01,3,100,31,1,0.8,1,0.6005917159763313,0.6352941176470588,0.6091794158553546,0.6136363636363636,0.6636085626911316
0.01,3,100,31,3,0.4,1,0.5964912280701754,0.6332842415316642,0.6075949367088608,0.6212765957446809,0.6646433990895296
0.01,3,100,31,3,0.6,1,0.6008836524300442,0.6352941176470588,0.6147308781869688,0.6171107994389902,0.6646433990895296
0.01,3,100,31,3,0.8,1,0.6,0.6352941176470588,0.6091794158553546,0.6136363636363636,0.664624808575804
0.01,3,100,31,7,0.4,1,0.5927007299270073,0.631424375917768,0.6067415730337079,0.6207865168539326,0.6626506024096386
