param_classifier__depth,param_classifier__l2_leaf_reg,param_classifier__learning_rate,param_classifier__n_estimators,param_classifier__random_strength,param_classifier__subsample,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
3,1,0.01,50,1,0.4,0.5729442970822282,0.6380697050938338,0.5748987854251012,0.592020592020592,0.6166902404526167
3,1,0.01,50,1,0.6,0.584,0.6415620641562064,0.5741239892183289,0.5927835051546392,0.6166902404526167
3,1,0.01,50,1,0.8,0.5839017735334243,0.6387726638772664,0.5764546684709067,0.6005361930294906,0.615819209039548
3,1,0.01,50,5,0.4,0.5677083333333334,0.6323119777158774,0.5835616438356165,0.596078431372549,0.6173541963015647
3,1,0.01,50,5,0.6,0.5795918367346938,0.637883008356546,0.5843621399176955,0.6049046321525886,0.6184397163120567
3,1,0.01,50,5,0.8,0.5828877005347594,0.6340782122905028,0.5772357723577236,0.5974025974025974,0.6226685796269728
3,1,0.01,100,1,0.4,0.5921787709497207,0.653179190751445,0.5877437325905293,0.6134800550206327,0.6298984034833092
3,1,0.01,100,1,0.6,0.585635359116022,0.6430678466076696,0.585635359116022,0.6078697421981004,0.6289855072463768
3,1,0.01,100,1,0.8,0.5943661971830986,0.6450662739322534,0.5852981969486823,0.61731843575419,0.6359583952451708
3,1,0.01,100,5,0.4,0.5792349726775956,0.6393210749646393,0.5867768595041323,0.6115702479338843,0.6233766233766234
3,1,0.01,100,5,0.6,0.5857740585774058,0.6420454545454546,0.5883977900552486,0.6098901098901099,0.6206896551724138
3,1,0.01,100,5,0.8,0.5840220385674931,0.6373937677053825,0.5843621399176955,0.6075268817204301,0.6269956458635704
3,1,0.01,200,1,0.4,0.6045845272206304,0.6451612903225806,0.594059405940594,0.6100278551532033,0.6416791604197901
3,1,0.01,200,1,0.6,0.599713055954089,0.6447761194029851,0.5923836389280677,0.6186440677966102,0.6467065868263473
3,1,0.01,200,1,0.8,0.6019971469329529,0.6458333333333334,0.5952045133991537,0.61731843575419,0.6476761619190404
3,1,0.01,200,5,0.4,0.5946704067321178,0.641726618705036,0.5888888888888889,0.61731843575419,0.6297376093294461
3,1,0.01,200,5,0.6,0.59375,0.6454413892908828,0.5924895688456189,0.6190476190476191,0.6260869565217392
3,1,0.01,200,5,0.8,0.5954415954415955,0.6464646464646465,0.5902097902097903,0.6164574616457462,0.6379821958456974
3,1,0.01,300,1,0.4,0.6055312954876274,0.6537313432835821,0.5954415954415955,0.6203966005665722,0.648729446935725
3,1,0.01,300,1,0.6,0.6023054755043228,0.6507462686567164,0.5925925925925926,0.6195190947666195,0.649624060150376
3,1,0.01,300,1,0.8,0.6069364161849711,0.6517857142857143,0.5965909090909091,0.6214689265536724,0.6506024096385542
3,1,0.01,300,5,0.4,0.5925925925925926,0.6441176470588236,0.5907172995780591,0.6205923836389281,0.64
3,1,0.01,300,5,0.6,0.5982905982905983,0.6450662739322534,0.5915492957746479,0.6225352112676056,0.6352941176470588
3,1,0.01,300,5,0.8,0.6017191977077364,0.6450662739322534,0.5907172995780591,0.6190476190476191,0.6408345752608048
3,1,0.05,50,1,0.4,0.599713055954089,0.6459259259259259,0.5912305516265912,0.6168741355463347,0.6517189835575485
3,1,0.05,50,1,0.6,0.6051873198847262,0.6475903614457831,0.5925925925925926,0.6217765042979942,0.6536144578313253
3,1,0.05,50,1,0.8,0.6031746031746031,0.6457399103139013,0.6068376068376068,0.6134453781512605,0.6586466165413534
3,1,0.05,50,5,0.4,0.5988538681948424,0.6424418604651163,0.5926966292134831,0.6054794520547945,0.62882096069869
3,1,0.05,50,5,0.6,0.5985611510791367,0.6471449487554904,0.5921787709497207,0.6149584487534626,0.6251808972503617
3,1,0.05,50,5,0.8,0.5959885386819485,0.642754662840746,0.5955056179775281,0.6223479490806223,0.6371681415929203
3,1,0.05,100,1,0.4,0.6055312954876274,0.6565349544072948,0.5959885386819485,0.6171428571428571,0.654434250764526
3,1,0.05,100,1,0.6,0.6122448979591837,0.6606334841628959,0.5925925925925926,0.6205923836389281,0.6504559270516718
3,1,0.05,100,1,0.8,0.6032210834553441,0.6529411764705882,0.6008583690987125,0.6191155492154066,0.6574923547400612
3,1,0.05,100,5,0.4,0.6058823529411764,0.6457399103139013,0.5962910128388017,0.6214689265536724,0.6397608370702541
3,1,0.05,100,5,0.6,0.6084425036390102,0.6517857142857143,0.5909090909090909,0.6221590909090909,0.6437125748502994
3,1,0.05,100,5,0.8,0.6129032258064516,0.655688622754491,0.5909090909090909,0.6246418338108882,0.6525679758308157
3,1,0.05,200,1,0.4,0.6068759342301944,0.6586826347305389,0.6014388489208633,0.617816091954023,0.663594470046083
3,1,0.05,200,1,0.6,0.6083086053412463,0.6546546546546547,0.5945945945945946,0.6291486291486291,0.6584992343032159
3,1,0.05,200,1,0.8,0.6066066066066066,0.6537313432835821,0.6083213773314203,0.6240928882438317,0.6604651162790698
3,1,0.05,200,5,0.4,0.6038863976083707,0.6666666666666666,0.5977011494252874,0.6212765957446809,0.656441717791411
3,1,0.05,200,5,0.6,0.6062407132243685,0.6458333333333334,0.6040462427745664,0.6213872832369942,0.654434250764526
3,1,0.05,200,5,0.8,0.6103703703703703,0.656671664167916,0.599713055954089,0.6217765042979942,0.6564885496183206
3,1,0.05,300,1,0.4,0.6042296072507553,0.6546003016591252,0.6002886002886003,0.6202898550724638,0.655436447166922
3,1,0.05,300,1,0.6,0.6,0.6515151515151515,0.6069364161849711,0.6217008797653959,0.6615384615384615
3,1,0.05,300,1,0.8,0.601526717557252,0.6465256797583081,0.6135693215339233,0.6228070175438597,0.6583850931677019
3,1,0.05,300,5,0.4,0.5967016491754122,0.6626323751891074,0.5965909090909091,0.6195965417867435,0.6563944530046225
3,1,0.05,300,5,0.6,0.5982142857142857,0.6547085201793722,0.6060606060606061,0.6253602305475504,0.6503067484662577
3,1,0.05,300,5,0.8,0.5988023952095808,0.6576576576576577,0.6019971469329529,0.6202898550724638,0.6676923076923077
3,1,0.1,50,1,0.4,0.6108663729809104,0.656671664167916,0.5951359084406295,0.6218487394957983,0.6504559270516718
3,1,0.1,50,1,0.6,0.6008836524300442,0.6529411764705882,0.5905848787446505,0.6189111747851003,0.6555891238670695
3,1,0.1,50,1,0.8,0.6052631578947368,0.6526946107784432,0.5900709219858156,0.6219686162624821,0.6605783866057838
3,1,0.1,50,5,0.4,0.6008708272859217,0.640117994100295,0.5925925925925926,0.6271186440677966,0.6427503736920778
3,1,0.1,50,5,0.6,0.599713055954089,0.6530014641288433,0.5898876404494382,0.6244604316546762,0.6369047619047619
3,1,0.1,50,5,0.8,0.6032210834553441,0.646795827123696,0.5911047345767575,0.6244604316546762,0.6395173453996983
3,1,0.1,100,1,0.4,0.6080476900149031,0.6537313432835821,0.5988538681948424,0.6253602305475504,0.6541471048513302
3,1,0.1,100,1,0.6,0.6130952380952381,0.6528189910979229,0.6014388489208633,0.6260869565217392,0.6584615384615384
3,1,0.1,100,1,0.8,0.6,0.6467065868263473,0.6005747126436781,0.622478386167147,0.6481481481481481
3,1,0.1,100,5,0.4,0.6092124814264487,0.6576576576576577,0.6069364161849711,0.6262341325811002,0.6485671191553545
3,1,0.1,100,5,0.6,0.6106194690265486,0.6577380952380952,0.5968436154949784,0.6219686162624821,0.6513056835637481
3,1,0.1,100,5,0.8,0.6056129985228951,0.6547619047619048,0.599713055954089,0.630057803468208,0.6483180428134556
3,1,0.1,200,1,0.4,0.5972850678733032,0.6513761467889908,0.6052631578947368,0.6115942028985507,0.6604651162790698
3,1,0.1,200,1,0.6,0.6116207951070336,0.6534954407294833,0.6075581395348837,0.6147058823529412,0.6728682170542636
3,1,0.1,200,1,0.8,0.5963302752293578,0.650231124807396,0.5970588235294118,0.6147058823529412,0.6554878048780488
3,1,0.1,200,5,0.4,0.6151515151515151,0.6605783866057838,0.6080691642651297,0.621897810218978,0.6636085626911316
3,1,0.1,200,5,0.6,0.6003016591251885,0.6666666666666666,0.6017441860465116,0.60932944606414,0.6501547987616099
3,1,0.1,200,5,0.8,0.5978755690440061,0.649390243902439,0.6,0.6198830409356725,0.656441717791411
3,1,0.1,300,1,0.4,0.6042944785276073,0.6491499227202473,0.5941176470588235,0.6081871345029239,0.650231124807396
