param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__subsample,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.8,0.01,3,1,100,0.4,0.6008836524300442,0.6390532544378699,0.6104078762306611,0.6278409090909091,0.662613981762918
0.8,0.01,3,1,100,0.6,0.6035502958579881,0.6369047619047619,0.6153846153846154,0.6186440677966102,0.6636225266362252
0.8,0.01,3,1,100,0.8,0.6026587887740029,0.6362297496318114,0.609308885754584,0.6230440967283073,0.6615620214395099
0.8,0.01,3,1,200,0.4,0.5997045790251108,0.6449704142011834,0.6125356125356125,0.6267806267806267,0.6656534954407295
0.8,0.01,3,1,200,0.6,0.6029411764705882,0.6410635155096012,0.6085714285714285,0.6258890469416786,0.6615853658536586
0.8,0.01,3,1,200,0.8,0.6017699115044248,0.6409495548961425,0.6067415730337079,0.6230440967283073,0.6585365853658537
0.8,0.01,3,1,300,0.4,0.6006006006006006,0.6447761194029851,0.6054519368723099,0.6302158273381295,0.6594761171032357
0.8,0.01,3,1,300,0.6,0.6,0.6498516320474778,0.6045845272206304,0.6257142857142857,0.664624808575804
0.8,0.01,3,1,300,0.8,0.6011730205278593,0.6478454680534919,0.6096866096866097,0.620199146514936,0.6605504587155964
0.8,0.01,3,1,400,0.4,0.6015037593984962,0.648729446935725,0.6074498567335244,0.6231884057971014,0.6563467492260062
0.8,0.01,3,1,400,0.6,0.599406528189911,0.6497764530551415,0.5988538681948424,0.6264367816091954,0.6595092024539877
0.8,0.01,3,1,400,0.8,0.5943536404160475,0.6476761619190404,0.603399433427762,0.6193921852387844,0.662557781201849
0.8,0.01,3,3,100,0.4,0.6008836524300442,0.638109305760709,0.6104078762306611,0.6267806267806267,0.662613981762918
0.8,0.01,3,3,100,0.6,0.6035502958579881,0.6369047619047619,0.6153846153846154,0.6186440677966102,0.6636225266362252
0.8,0.01,3,3,100,0.8,0.6035502958579881,0.6362297496318114,0.609308885754584,0.6230440967283073,0.6615620214395099
0.8,0.01,3,3,200,0.4,0.6005917159763313,0.6449704142011834,0.6116642958748222,0.6258890469416786,0.6636363636363637
0.8,0.01,3,3,200,0.6,0.6029411764705882,0.6410635155096012,0.6085714285714285,0.6258890469416786,0.6625954198473283
0.8,0.01,3,3,200,0.8,0.6020558002936858,0.6420118343195266,0.6067415730337079,0.6248216833095578,0.6595419847328244
0.8,0.01,3,3,300,0.4,0.6026986506746627,0.6446776611694153,0.6054519368723099,0.6312769010043041,0.6594761171032357
0.8,0.01,3,3,300,0.6,0.6,0.6498516320474778,0.6048502139800286,0.6266094420600858,0.664624808575804
0.8,0.01,3,3,300,0.8,0.6029411764705882,0.6488095238095238,0.6077032810271041,0.620199146514936,0.6605504587155964
0.8,0.01,3,3,400,0.4,0.6033182503770739,0.6517189835575485,0.6080691642651297,0.625,0.65527950310559
0.8,0.01,3,3,400,0.6,0.6014814814814815,0.6527570789865872,0.597997138769671,0.6273381294964029,0.6605222734254992
0.8,0.01,3,3,400,0.8,0.5961251862891207,0.6507462686567164,0.603399433427762,0.6202898550724638,0.6615384615384615
0.8,0.01,3,5,100,0.4,0.6008836524300442,0.636094674556213,0.6104078762306611,0.6267806267806267,0.662613981762918
0.8,0.01,3,5,100,0.6,0.6035502958579881,0.6369047619047619,0.6153846153846154,0.6186440677966102,0.6636225266362252
0.8,0.01,3,5,100,0.8,0.6035502958579881,0.6362297496318114,0.609308885754584,0.6230440967283073,0.6615620214395099
0.8,0.01,3,5,200,0.4,0.5967503692762186,0.6449704142011834,0.6059743954480796,0.6267806267806267,0.6636363636363637
0.8,0.01,3,5,200,0.6,0.6029411764705882,0.6420118343195266,0.6096866096866097,0.6258890469416786,0.6605783866057838
0.8,0.01,3,5,200,0.8,0.6011730205278593,0.64,0.6067415730337079,0.6230440967283073,0.6595419847328244
0.8,0.01,3,5,300,0.4,0.6006006006006006,0.6458333333333334,0.6045845272206304,0.6264367816091954,0.6584615384615384
0.8,0.01,3,5,300,0.6,0.6008836524300442,0.6488888888888888,0.6068376068376068,0.6257142857142857,0.6636085626911316
0.8,0.01,3,5,300,0.8,0.6029411764705882,0.6478454680534919,0.6096866096866097,0.6210826210826211,0.6625766871165644
0.8,0.01,3,5,400,0.4,0.6015037593984962,0.6536731634182908,0.6074498567335244,0.6260869565217392,0.653250773993808
0.8,0.01,3,5,400,0.6,0.5982142857142857,0.648729446935725,0.597997138769671,0.6282420749279539,0.6605222734254992
0.8,0.01,3,5,400,0.8,0.5943536404160475,0.6517189835575485,0.6053748231966054,0.6176046176046176,0.6615384615384615
0.8,0.01,5,1,100,0.4,0.6030769230769231,0.6523736600306279,0.6195488721804512,0.6287425149700598,0.6603174603174603
0.8,0.01,5,1,100,0.6,0.6097560975609756,0.6463414634146342,0.606508875739645,0.6287425149700598,0.6549520766773163
0.8,0.01,5,1,100,0.8,0.6055045871559633,0.6403641881638846,0.6144756277695717,0.6186186186186187,0.6593406593406593
0.8,0.01,5,1,200,0.4,0.6043613707165109,0.648062015503876,0.6163141993957704,0.6135338345864662,0.6624605678233438
